form|lause
elementidest|Kui Mari Boine kontsert koosnes erinäolistest elementidest , mille vahel kommunikatsiooni ei toimu , siis Charles Lloydi kvartet esitas justkui erinevusteta ühtlase voo , millel puuduvad elemendid .
elemendile|hulkadena on yks lõpmatus defineeritud läbi teise lõpmatuse siis , kui igale elemendile yhest hulgast vastab läbi ( diferentseeruva ? ) funktsiooni yks ja ainult yks element teisest hulgast nii , et mistahes N esimest elementi yhest hulgast on samased läbi funktsiooni teise hulga N esimese elemendiga .
eraelus|Kas eraelus pole tulnud ennast või teisi rünnaku eest kaitsta ?
eraelule|On kerge mõista , miks koreograaf Dmitri Harchenko on Zicki uue lavastuse teemaks valinud Edith Piafi ja keskendunud pigem diiva suurte tõusude ja veel suuremate langustega eraelule , kasutades tema loomingut vaid tugeva helitaustana .
eraelus|""" Varem teadsin bändist ikka kõike , aga nüüd ei jõua enam nende tegemistega kursis olla , "" tunnistab bändi esifänn , kes eraelus peab arvutiõpetaja ametit ning elab Paide lähedal ."
eraelus|Üks süüdistatutest , seersant Chip Frederick , töötas ka eraelus vangivalvurina , kuid kinnitas , et ei talle ega ühelegi teisele sõjaväelasele pole antud mingeid instruktsioone , kuidas vangidega käituda .
eraelus|Kivastiku raamatust saame teada , mis sai Nipernaadist edasi , kuidas käitus ta eraelus , Maretiga abielus olles ( Kivastikul Julia ) , kas taltus tema rännulust , kas mandusid malbed fantaasiad , vakatasid erootilised kujutelmad , kas tal sündis palju lapsi ( 35ndaks leheküljeks on neid Kivastikul kaheksa ) ning kas ta lõpuks lakkas olude sunnil olemast , see , kes ta oli - kirjanik , luuletaja .
ootele|Tellisin oma metsamehe prae menüü odavamast otsast ( 65 raha ) , jäin ootele .
ootel|Esimesena püüdsid sellega kala taanlased , hiljem rootslased ning viimased paar aastat seisis eri nimede all merd kündnud alus müügi ootel .
ootele|Arvuteid võib tellida ka ühekaupa , kuid sel juhul jääb tellimus ootele kuni suurema partii saabumiseni .
ootel|Kas müüt Metallicast kui terve rockipõlvkonna hääletorust on eos meie armsa laulukaare all tükkideks otsustatud õhkida ja 29. juuni lauluväljakut hakkavad ilmestama taevasse viskuvate tulejugade ootel õlletopsidesse põrnitsevad juhuslikud kohalesaabunud ?
ootele|Tööde teostamise ajal tellitud logod , pildid ja helinad jäävad sõnumikeskusse ootele ning tellimused jõuavad kohale viivitusega , pärast tööde teostamise lõppu .
polikliinikus|Kolmapäeval käis Tõnismäe polikliinikus veel üks daam , kellel ostetud kiirgustõrje aparaat isegi kaasas oli , öeldi Tõnismäe polikliiniku registratuurist .
polikliinikusse|Kliendid tulevad Staadioni tänaval asuvasse polikliinikusse vabatahtlikult , kui alkohol , narkootikumid või sõltuvus millestki muust ( nagu näiteks mänguautomaatidest ) muutub liialt koormavaks .
polikliinikus|Käisin hiljuti Kopli polikliinikus .
polikliinikusse|""" Näe ongi luumurd ! "" imestasid tohtrid ja saatsid naise polikliinikusse elastiksidet ostma ."
polikliinikusse|Vaimselt ebastabiilne , granaadiga relvastatud mees tungis esmaspäeva õhtul Narva polikliinikusse , sest ei leidnud mujalt telefoni , et helistada oma endisele naisele .
Oslos|46 riiki kutsusid reedel Norras Oslos üles keelustama kobarpomme ja lubasid tegutseda selle nimel , et keeld kehtestuks juba tuleval aastal .
Oslost|21. jaanuaril helistas ta Oslost viimast kord koju ja teatas , et naaseb kolme päeva pärast .
Oslos|Norra kuningas Harald V annab täna Oslos Nobeli rahupreemia Ameerika Ühendriikide ekspresidendile Jimmy Carterile .
Oslos|Jaapanlased valmistusid Oslos tänaseks sõpruskohtumiseks Norraga , kui Troussier Pariisi pühapäevasele matusetalitlusele sõitis .
Oslos|31. mail Oslos toimunud breiktantsu maailmameistrivõistluste Battle of the Year Skandinaavia alavõistluse võitis ülekaalukalt Prodance'i breiktantsugrupp Submission .
autonäitusel|Eelmisel aastal Frankfurdi autonäitusel esitles Rover siiski kahte väikest ideeautot , mis annavad ettekujutuse tuleviku Minist .
autonäitusel|Siiani võimsate ja januse mootoriga luksusautodega tähelepanu pälvinud USA väikefirma Fisker kavatseb jaanuaris Detroiti autonäitusel esitleda oma esimest hübriidjõuallikaga sõidukit .
autonäitusel|Laiem publik näeb varsti tootmisse minevat äriklassi Volkswagenit eeloleval kevadel Genfi autonäitusel , teatab AutoExpress .
autonäitusel|Honda näitas hiljuti lõppenud Detroidi autonäitusel oma uut sportkupeed Acura RS-X .
autonäitusel|Esimest korda Motorexi ajaloos osalevad autonäitusel kõik Eestis tegutsevad autofirmad .
taastamisele|Lubadused : šampoon sisaldab kummeliekstrakti ning kõõm kaob tänu peanaha loomuliku ainevahetuse taastamisele .
taastamisele|Võiks järgida põhimõtet , mille kohaselt see kuriteo toimepannud isik , kes aitab kiiremini kaasa õigusrahu taastamisele ja loobub ulatuslikumalt oma õigustest , peab saama ka suurema hüvituse karistuse kergendamise vormis .
taastamisele|Aasta lõpuks on Jaani kiriku taastamisele kulunud 31 miljonit krooni , lõpliku valmimiseni oleks vaja veel 55 miljonit krooni .
taastamisest|Möödub lihtsalt kümme aastat iseseisvuse taastamisest .
taastamisel|""" Vabriku taastamisel tuli investeerida seadmetesse ligi kaheksa miljonit krooni , "" märkis ta ."
pingutustele|Washingtoni tippkohtumisel märkisime ära ja avaldasime tunnustust pingutustele ja edusammudele , mida võib jätkuvalt Eesti puhul täheldada .
pingutustest|Murdmaasuusatamise MK-etapil Lahtis naiste 10 km klassikadistantsil kaheksandaks tulnud Kristina Shmiguni sõidulusti ahistas Ramsau MMi pingutustest keha näriv väsimus .
pingutustest|Kuigi Jones ei saanud sprindis sel hooajal ühtki kaotust , ei piisanud pingutustest üldvõitja preemia 200 000 dollari teenimiseks .
pingutustele|Diplomaadielu kaksipidisustesse kuulub ka see osa teenistuskohustustest , mis puudutab seltskonnaelu , mille pidulikkus on pöördvõrdeline tühisusega , kogetud nauding aga ei vasta kulutatud pingutustele .
pingutustest|Hoolimata partei pingutustest vähenes komsomoliorganisatsiooni soovijate arv iga aastaga - 1953. aastal liitus kogu ajaloo-keeleteaduskonnas komsomoliga vaid kolm üliõpilast .
graafikust|Sebe võttis graafikust maha ka samal ajal Tallinnast Tartusse suunduva bussi , mida viimase laevaga Eestisse saabunud soomlased kasutasid Taaralinna jõudmiseks .
graafikule|Eesti rekordi graafikule kaotas Nool 161 punktiga , kuid võrreldes Ateenaga oli mees 71 punktiga plussis .
graafikus|85 andis 9000-punkti graafikus liikunud Tomas Dvoraki järel teise koha .
graafikule|Samas on elektrirongid sõitnud vastavalt graafikule , ükski oluline remonttöö ei ole jäänud tegemata ja reisijate arv on suurenenud eelarvega võrreldes 4% ning on 102 000 reisijat enam planeeritust .
graafikule|Nool kaotab Eesti rekordi 6374 punkti graafikule ainult kahe silmaga .
järgmisesse|Mõlemas peetud kohtumises tuli Pertelson tatamile üldseisul 3 : 3 , järelikult olenes temast , kes pääseb järgmisesse ringi .
järgmisest|See on väga lühike ja vajadus seda muudatust teha tuleneb järgmisest .
järgmisel|Näiteks lepib ostja ühel päeval midagi müüjaga kokku , aga järgmisel leiab midagi paremat ja mõtleb ümber , sõnas Leeman .
järgmises|Põhimõte seisneb järgmises : kui isik lahkub ühest Tallinna linnaosast teise , siis keskregistrisse jääb ta alles .
järgmisel|Ühel päeval ta jumaldas Demit , järgmisel ei kannatanud tema viluvarjugi .
Linnateatris|""" Kuna Kuressaare Linnateatris toimunud diskussioonil kultuuriministeeriumile mingeid konkreetseid rahasoove ega ideid teatri tuleviku osas välja ei pakutud , jääb ministeerium äraootavale seisukohale , "" ütles ETAle kultuuriministeeriumi teatrinõunik Reet Weidebaum ."
Linnateatris|"Praegu lavastab ta Tallinna Linnateatris Harold Pinteri draamat "" Kojutulek "" ."
Linnateatris|Esietendus Linnateatris 20. veebruaril .
Linnateatris|Esietendus on 30. novembril Linnateatris .
Linnateatris|"Linnateatris etendub pühapäeval Nüganeni lavastus "" Pianoola ehk mehhaaniline klaver "" , mis teatavasti hiljuti ka Peterburi teatrifestivalil peaauhinna võitis ."
läbiotsimisest|1960. aasta jaanuarist pärineb ettekanne politsei ja sõjaväejõudude ühisest läbiotsimisest “ miljonäri kodus , kes külastab Hollywoodi öiseid lõbustuskohti ja on kurikuulus homoseksuaal .
läbiotsimisel|Tee sai süüdistuse ka tsiviilkäibes keelatud lõhkematerjali käitlemises , kuna uurijad leidsid talt läbiotsimisel kaks lahingugranaati .
läbiotsimisel|Keskkriminaalpolitsei ametnikud leidsid kaks nädalat tagasi Jõhvis sõiduauto Audi läbiotsimisel selle pagasiruumist kohvri sisse pakituna kilo ja kümme grammi peamiselt ninna tõmmatavat amfetamiinipulbrit .
läbiotsimisel|Märkmiku eelmise aasta vahendustööga sai kapo enda valdusse veebruaris läbiotsimisel Kaljuranna Lasnamäe kodus .
läbiotsimisel|Politsei leidis läbiotsimisel jalutusrihma ja koeratoidu purgid .
seaduseelnõule|Sellisel juhul ma palun Vambo Kaalu tagasi kõnepulti , selleks et läbi vaadata seaduseelnõule laekunud 52 muudatusettepanekut .
seaduseelnõust|Sellest seaduseelnõust ei saanud ma vastust ühele minu jaoks tekkinud probleemile .
seaduseelnõule|Üleantud seaduseelnõule määrab juhatus juhtivkomisjoni kolme tööpäeva jooksul .
seaduseelnõust|Valitsus annab täna Riigikogu menetlusse kaks seaduseelnõude paketti , mis kokku koosnevad viiest seaduseelnõust .
seaduseelnõus|Me ei ole tõesti seaduseelnõus andnud ülddefinitsiooni selle kohta , mis on planeering , sest eri tasemete planeeringud , eri planeeringute liigid on väga erinevad nii oma sisult kui ka juriidiliselt mõjult .
maapinnast|Aga see , et mõnes kohas maapinnast natuke elektromagneetilist energiat välja valgub , pole mingi ime .
maapinnale|""" Kui puurkaevu poleks , tuleks vesi maapinnale niikuinii , "" juhtis Sokman tähelepanu lõhedele kraavi põhjas ."
maapinnale|Olin ühe silmaga jälginud ümbrust , ent midagi huvitavat ei toimunud , linnud lobisesid omavahel ja hoidusid kaugemale , sajajalgset oli ehk paar lüli rohkem maapinnale kerinud ja maastik meie ümber oli liikumatu .
maapinnale|See kukub maapinnale ja paiskab õhku bensiinipilve , mis süttib , ja taevast täidab plahvatus .
maapinnale|KOHTLA-JÄRVE , 17. juuni ( EPLO ) - Paar nädalat tagasi endise Sompa kaevanduse peahoone taga süüdatud risuhunnikutest võttis tuld maapinnale jäänud põlevkivi ning nüüd levib põlemine juba sügavuti , kirjutab Põhjarannik .
tuurile|Eurospordi kommentaatorina igapäevast leiba teeninud Dhaenens sõitis saatuslikul päeval Flandria tuurile , mis oli ühtlasi MKsarja etapp .
tuuril|Vahemere tuuril osales ka Janek Tombak , kes viimasel etapil oli kaheksas .
tuurile|Taas läheb segakoor Nooruse seltskond Unustatud lavade tuurile .
tuuril|Kuigi Tombakut pole esialgu veel Cofidise Tour de France'i tiimi nimetatud , loodab Eesti meistrisärgis sõitev proff Luksemburgi ja Rootsi tuuril tõestada bossidele enda tugevust .
tuuril|See soovitas , et mängijad , kellest paljud osalevad tuuril teismelisepõlvest , vaataksid oma karjääri kaugemas perspektiivis .
mudelist|Kui kõik detailid loksuvad õigetele kohtadele , Holland võidab ja võtab kaasa suurepärase meeskonnahinge siis võidakse jõuda väga suure eduni , » räägib Pijpers mudelist , mida ka ise nii väga ootab .
mudelilt|Täpselt samal põhjusel on ka BMW-l , Mercedesel ja Audil väljakujunenud disainivõtted , mis mudelilt mudelile edasi kanduvad .
mudelisse|Samas leiavad Leedu korvpallitegelased , et aeglane Sabonis ei sobigi tänasesse mudelisse .
mudelisse|Väikeste poiste sõjamäng näitaks suurtele poistele , et väikesed poisid on nende mängu elemendid osavalt enda mudelisse programmeerinud ja tahavad olla päris partnerid .
mudelist|Hind sõltub auto mudelist ja suurusest .
maailmasõjas|Ka Soome juudid võitlesid näiteks Teises maailmasõjas Saksa armees venelaste vastu ja said selle eest aumärke .
maailmasõjas|Kui eestlased sõdisid Teises maailmasõjas õige asja eest , saab maailm meist aru , leiab Eerik-Niiles Kross .
maailmasõjas|Tõnismäe pronkssõduri ümbrus tuleks kujundada kõigi II maailmasõjas langenud Eesti sõdurite memoriaalansambliks .
maailmasõjas|""" Sa ütled neile , kes võitlesid Viet Namis ja II maailmasõjas , et neid ei huvita ameeriklaste julgeolek ."
maailmasõjas|Teises maailmasõjas kandsid peale sakslaste veel mitme rahvuse sõdurid saksa mundrit .
süüdistusest|Türgi politsei kuulas Postimehe ajakirjaniku üle , esmaspäeval vabastas kohus ta süüdistusest ja konfiskeeris padrunid .
süüdistustest|Chandler loobub süüdistustest ning saab Jacksonilt kohtuvälise lahendina väidetavalt kuni 20 miljonit dollarit .
süüdistusele|Mida vastate süüdistusele , nagu oleksite vehelnud naiskonnavõistlusel tujutult ja sellega lausa naiskonda alt vedanud ?
süüdistusele|Teises maailmasõjas relva-SS-i koosseisus võidelnud Eesti veteranid korraldavad juuli alguses aastakokkutuleku , millest kavatseb vaatamata natsismi toetamise süüdistusele osa võtta mitu Eesti juhtivat poliitikut .
süüdistustele|"Rice vastas süüdistustele : "" Mitte iialgi ei kaotanud ma austust tõe vastu üheski teenistuses ."
lossis|Oorn ütles , et lossiisandad ise ei hakka lossis hotelli või midagi muud pidama .
lossis|President Lennart Meri pakkis terve nädalavahetuse Kadrioru lossis oma suurt raamatukogu plastkastidesse ja usaldab selle täna kolimisfirma hoolde .
lossile|"Samas Ekspressis peab Tallinna abilinnapea Liisa Pakosta lossile linna reserveelarvest eraldatud 200 000 krooni "" uskumatult kopsakaks summaks "" , mis on "" kohutavalt vastutulelik toetus "" ."
lossis|Riigi muinsuskaitseamet , kelle kooskõlastuseta ei ole Riigikogu kantselei seni saanud lasta teha ühtegi pisiremonti Riigikogu ruumes , sellest riigikantselei lisandusest roosas Katariina-aegses lossis ei teadnud .
lossis|Ta kasvas üles lossis , mis on veel praegugi alles ja kus nüüd on muuseum .
allikatel|Sulev Alajõe ütles , et tema vastu esitatud süüdistused põhinevad ekslikel allikatel või on tegemist programmiliste erimeelsustega .
allikale|Praeguse Põlvamaa kunagise jõukuse allikale osutavad pikad kinnikasvanud linaleotiigid , mida paljudes taludes võib veel praegugi näha .
allikast|13. detsembri Postimehes esitati andmeid Eesti rahvastiku kohta , mis pärinesid kahest allikast - Eesti Statistikaametist ja Eesti Kodakondsus- ja Migratsiooniametist .
allikast|Neist kahest allikast otsivad õigusteavet kõrgema sissetuleku ja kõrgema haridustasemega inimesed .
allikaist|“ Postimehele ” usaldusväärseist allikaist laekunud teabe kohaselt on valitsuskoalitsioonil kavas teha muudatusi riigiettevõtte Eesti Kütus haldusnõukogu koosseisus ning vahetada välja selle peadirektor Toomas Saks .
sünnile|Salapärast hoolimata ilmus novembri lõpupäevil leheveergudele teave : Erja suur kõht ja kolmteist lisakilo viitavad tugevama soo esindaja sünnile .
sünnist|Täna möödub Kaarel Eenpalu ( 28.05.1888 -27.01. 1942 ) sünnist 111 aastat .
sünnile|Selle doktriini sünnile aitasid kaasa artikli 30 rakendamise piirangud .
sünnist|Konverensti teise poole ettekanded on Oskar Kallase tegevusest Õpetatud Eesti Seltsis , Oskar Urgartist , kelle sünnist möödus äsja 100 aastat ja Paul Ariste raamatukogust , mida säilitatakse memoriaalkoguna arhiivraamatukogus .
sündides|Eks see on juba kord nii , et teise lapse sündides saab vanemast lapsest isa laps .
korraldamisel|"Ramann ütles , et ei tea täpselt , millistel alustel linnaamet laagreid finantseerib : "" Eelmisel aastal käis asi lihtsalt -esitasime oma taotluse koos eelarvega spordi- ja noorsooametile ja saime sealt vastuse , millises mahus linn meid laagrite korraldamisel toetab ."
korraldamisel|Igal talvel peetavat võistlust jälgib umbkaudu 10 000 pealtvaatajat , korraldamisel paneb ka riik oma õla alla .
korraldamises|"Arreteerimiskäsu andnud kohtunik süüdistab Pinochetti 1973. aasta "" surmakaravani "" korraldamises , mille käigus tapeti 75 poliitvangi ."
korraldamises|Kapo süüdistab varem kriminaalkorras karistamata Balõnskit 19. mail Stockmannis kahe pommiplahvatuse korraldamises eesmärgiga pressida kaubamajalt välja kaks miljonit krooni .
korraldamises|Tuleb asuda seisukohale , et tegemist on riigipea kui monokraatse organi juures asuva kantseleiga , mille ülesanded on tehnilist laadi ja abistava iseloomuga ning seisnevad Vabariigi Presidendi töö korraldamises .
Hiiumaal|Hiiumaal Käina vallas Kogri külas vajus eile õhtul kella 18.09 ajal sõiduauto Volkswagen peale auto all olevale Ovele ( s 1962 ) .
Hiiumaal|Hiiumaal Suuremõisa lossis lõpevad Lossipäevad 96 ja Kärdlas Hiiumaa tenniseklubi lahtine turniir .
